country_iso3,freq,measure,unit_measure,territorial_level,unit_mult,decimals,year,value,obs_status,region_code,region_label
ES002F,A,GDP,USD_PPP,FUA,6,0,2012,224702,A,ES002F,NA
ES002F,A,EMPW,PS,FUA,0,0,2012,2166165,A,ES002F,NA
ES002F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2012,103733,A,ES002F,NA
ES002F,A,GDP,PT_NAT,FUA,0,1,2013,12.5,A,ES002F,NA
ES002F,A,GDP,USD_PPP_PS,FUA,0,0,2013,45169,A,ES002F,NA
ES002F,A,GDP,USD_PPP,FUA,6,0,2013,222584,A,ES002F,NA
ES002F,A,EMPW,PS,FUA,0,0,2013,2099307,A,ES002F,NA
ES002F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2013,106027,A,ES002F,NA
ES002F,A,GDP,PT_NAT,FUA,0,1,2014,12.6,A,ES002F,NA
ES002F,A,GDP,USD_PPP_PS,FUA,0,0,2014,46279,A,ES002F,NA
ES002F,A,GDP,USD_PPP,FUA,6,0,2014,227356,A,ES002F,NA
ES002F,A,EMPW,PS,FUA,0,0,2014,2117404,A,ES002F,NA
ES002F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2014,107375,A,ES002F,NA
ES002F,A,GDP,PT_NAT,FUA,0,1,2015,12.6,A,ES002F,NA
ES002F,A,GDP,USD_PPP_PS,FUA,0,0,2015,48085,A,ES002F,NA
ES002F,A,GDP,USD_PPP,FUA,6,0,2015,236282,A,ES002F,NA
ES002F,A,EMPW,PS,FUA,0,0,2015,2189394,A,ES002F,NA
ES002F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2015,107921,A,ES002F,NA
ES002F,A,GDP,PT_NAT,FUA,0,1,2016,12.7,A,ES002F,NA
ES002F,A,GDP,USD_PPP_PS,FUA,0,0,2016,49849,A,ES002F,NA
ES002F,A,GDP,USD_PPP,FUA,6,0,2016,245841,A,ES002F,NA
ES002F,A,EMPW,PS,FUA,0,0,2016,2247826,A,ES002F,NA
ES002F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2016,109369,A,ES002F,NA
ES002F,A,GDP,PT_NAT,FUA,0,1,2017,12.8,A,ES002F,NA
ES002F,A,GDP,USD_PPP_PS,FUA,0,0,2017,51468,A,ES002F,NA
ES002F,A,GDP,USD_PPP,FUA,6,0,2017,255428,A,ES002F,NA
ES002F,A,EMPW,PS,FUA,0,0,2017,2344336,A,ES002F,NA
ES002F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2017,108955,A,ES002F,NA
ES002F,A,GDP,PT_NAT,FUA,0,1,2018,12.9,A,ES002F,NA
ES002F,A,GDP,USD_PPP_PS,FUA,0,0,2018,52526,A,ES002F,NA
ES002F,A,GDP,USD_PPP,FUA,6,0,2018,262164,A,ES002F,NA
ES002F,A,EMPW,PS,FUA,0,0,2018,2410162,A,ES002F,NA
ES002F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2018,108775,A,ES002F,NA
ES002F,A,GDP,PT_NAT,FUA,0,1,2019,13,A,ES002F,NA
ES002F,A,GDP,USD_PPP_PS,FUA,0,0,2019,53428,A,ES002F,NA
ES002F,A,GDP,USD_PPP,FUA,6,0,2019,269310,A,ES002F,NA
ES002F,A,EMPW,PS,FUA,0,0,2019,2477024,A,ES002F,NA
ES002F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2019,108723,A,ES002F,NA
ES002F,A,GDP,PT_NAT,FUA,0,1,2020,12.9,A,ES002F,NA
ES002F,A,GDP,USD_PPP_PS,FUA,0,0,2020,46555,A,ES002F,NA
ES002F,A,GDP,USD_PPP,FUA,6,0,2020,237980,A,ES002F,NA
ES002F,A,EMPW,PS,FUA,0,0,2020,2377484,A,ES002F,NA
ES002F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2020,100097,A,ES002F,NA
ES002F,A,GDP,PT_NAT,FUA,0,1,2021,12.8,A,ES002F,NA
ES002F,A,GDP,USD_PPP_PS,FUA,0,0,2021,49486,A,ES002F,NA
ES002F,A,GDP,USD_PPP,FUA,6,0,2021,251504,A,ES002F,NA
ES002F,A,EMPW,PS,FUA,0,0,2021,2426175,A,ES002F,NA
ES002F,A,LAB_PROD,USD_PPP_WR,FUA,0,0,2021,103663,A,ES002F,NA
