city,year,indicator,value,value_interp
Lisbon,2017,kpi_ht_patents_per_100kemp,NA,NA
Lisbon,2018,kpi_ht_patents_per_100kemp,NA,NA
Lisbon,2019,kpi_ht_patents_per_100kemp,NA,NA
Lisbon,2020,kpi_ht_patents_per_100kemp,NA,NA
Lisbon,2021,kpi_ht_patents_per_100kemp,NA,NA
Lisbon,2000,kpi_rnd_intensity,0.24410382618957308,0.24410382618957308
Lisbon,2001,kpi_rnd_intensity,0.27884811956909794,0.27884811956909794
Lisbon,2002,kpi_rnd_intensity,0.2542783379657698,0.2542783379657698
Lisbon,2003,kpi_rnd_intensity,0.23856235267285994,0.23856235267285994
Lisbon,2004,kpi_rnd_intensity,0.2537845197336911,0.2537845197336911
Lisbon,2005,kpi_rnd_intensity,0.27442333738433256,0.27442333738433256
Lisbon,2006,kpi_rnd_intensity,0.3532397900209414,0.3532397900209414
Lisbon,2007,kpi_rnd_intensity,0.4216280161093444,0.4216280161093444
Lisbon,2008,kpi_rnd_intensity,0.5685410078346584,0.5685410078346584
Lisbon,2009,kpi_rnd_intensity,0.6231363983210626,0.6231363983210626
Lisbon,2010,kpi_rnd_intensity,0.5940979551844495,0.5940979551844495
Lisbon,2011,kpi_rnd_intensity,0.5912732619305875,0.5912732619305875
Lisbon,2012,kpi_rnd_intensity,0.530839212660006,0.530839212660006
Lisbon,2013,kpi_rnd_intensity,0.5144448717007745,0.5144448717007745
Lisbon,2014,kpi_rnd_intensity,0.4884002869980557,0.4884002869980557
Lisbon,2015,kpi_rnd_intensity,0.4747511183805093,0.4747511183805093
Lisbon,2016,kpi_rnd_intensity,0.5044923779818127,0.5044923779818127
Lisbon,2017,kpi_rnd_intensity,0.49958221453602136,0.49958221453602136
Lisbon,2018,kpi_rnd_intensity,0.5215063308571101,0.5215063308571101
Lisbon,2019,kpi_rnd_intensity,0.5433067332378345,0.5433067332378345
Lisbon,2020,kpi_rnd_intensity,0.6418542548299736,0.6418542548299736
Lisbon,2021,kpi_rnd_intensity,NA,NA
Tallinn,2000,kpi_ht_employment_share,NA,NA
Tallinn,2001,kpi_ht_employment_share,NA,NA
Tallinn,2002,kpi_ht_employment_share,NA,NA
Tallinn,2003,kpi_ht_employment_share,NA,NA
Tallinn,2004,kpi_ht_employment_share,NA,NA
Tallinn,2005,kpi_ht_employment_share,NA,NA
Tallinn,2006,kpi_ht_employment_share,NA,NA
Tallinn,2007,kpi_ht_employment_share,NA,NA
Tallinn,2008,kpi_ht_employment_share,NA,NA
Tallinn,2009,kpi_ht_employment_share,NA,NA
Tallinn,2010,kpi_ht_employment_share,NA,NA
Tallinn,2011,kpi_ht_employment_share,NA,NA
Tallinn,2012,kpi_ht_employment_share,NA,NA
Tallinn,2013,kpi_ht_employment_share,NA,NA
Tallinn,2014,kpi_ht_employment_share,NA,NA
Tallinn,2015,kpi_ht_employment_share,NA,NA
Tallinn,2016,kpi_ht_employment_share,NA,NA
Tallinn,2017,kpi_ht_employment_share,NA,NA
Tallinn,2018,kpi_ht_employment_share,NA,NA
Tallinn,2019,kpi_ht_employment_share,NA,NA
Tallinn,2020,kpi_ht_employment_share,NA,NA
Tallinn,2021,kpi_ht_employment_share,NA,NA
Tallinn,2000,kpi_ht_patents_per_100kemp,0.06979805530876182,0.06979805530876182
Tallinn,2001,kpi_ht_patents_per_100kemp,0.2678291373008405,0.2678291373008405
Tallinn,2002,kpi_ht_patents_per_100kemp,0.3096464040525228,0.3096464040525228
Tallinn,2003,kpi_ht_patents_per_100kemp,1.0811904753248676,1.0811904753248676
Tallinn,2004,kpi_ht_patents_per_100kemp,0.4960875736172463,0.4960875736172463
Tallinn,2005,kpi_ht_patents_per_100kemp,0.5059137849272182,0.5059137849272182
Tallinn,2006,kpi_ht_patents_per_100kemp,1.0688027086906804,1.0688027086906804
Tallinn,2007,kpi_ht_patents_per_100kemp,1.4208942768041462,1.4208942768041462
Tallinn,2008,kpi_ht_patents_per_100kemp,2.6607218269824253,2.6607218269824253
Tallinn,2009,kpi_ht_patents_per_100kemp,1.712294967526997,1.712294967526997
Tallinn,2010,kpi_ht_patents_per_100kemp,1.944345210115634,1.944345210115634
Tallinn,2011,kpi_ht_patents_per_100kemp,1.5094434923156235,1.5094434923156235
Tallinn,2012,kpi_ht_patents_per_100kemp,0.9043559494955251,0.9043559494955251
Tallinn,2013,kpi_ht_patents_per_100kemp,NA,NA
Tallinn,2014,kpi_ht_patents_per_100kemp,NA,NA
Tallinn,2015,kpi_ht_patents_per_100kemp,NA,NA
Tallinn,2016,kpi_ht_patents_per_100kemp,NA,NA
Tallinn,2017,kpi_ht_patents_per_100kemp,NA,NA
Tallinn,2018,kpi_ht_patents_per_100kemp,NA,NA
Tallinn,2019,kpi_ht_patents_per_100kemp,NA,NA
Tallinn,2020,kpi_ht_patents_per_100kemp,NA,NA
Tallinn,2021,kpi_ht_patents_per_100kemp,NA,NA
Tallinn,2000,kpi_rnd_intensity,NA,NA
Tallinn,2001,kpi_rnd_intensity,NA,NA
Tallinn,2002,kpi_rnd_intensity,NA,NA
Tallinn,2003,kpi_rnd_intensity,NA,NA
Tallinn,2004,kpi_rnd_intensity,NA,NA
Tallinn,2005,kpi_rnd_intensity,NA,NA
Tallinn,2006,kpi_rnd_intensity,NA,NA
Tallinn,2007,kpi_rnd_intensity,NA,NA
Tallinn,2008,kpi_rnd_intensity,NA,NA
Tallinn,2009,kpi_rnd_intensity,NA,NA
Tallinn,2010,kpi_rnd_intensity,NA,NA
Tallinn,2011,kpi_rnd_intensity,NA,NA
Tallinn,2012,kpi_rnd_intensity,NA,NA
Tallinn,2013,kpi_rnd_intensity,NA,NA
Tallinn,2014,kpi_rnd_intensity,NA,NA
Tallinn,2015,kpi_rnd_intensity,NA,NA
Tallinn,2016,kpi_rnd_intensity,NA,NA
Tallinn,2017,kpi_rnd_intensity,NA,NA
Tallinn,2018,kpi_rnd_intensity,NA,NA
Tallinn,2019,kpi_rnd_intensity,NA,NA
Tallinn,2020,kpi_rnd_intensity,NA,NA
Tallinn,2021,kpi_rnd_intensity,NA,NA
