country_iso3,measure,sex_own,entr_size,transaction_type,unit_measure,prices,unit_mult,country,year,value,obs_status,decimals,region_code
ESP,BANKRUPTCIES,_Z,SME,NEW,GR,_Z,0,ESP,2014,-32.20699747,A,2,NA
ESP,VC,_Z,T,_Z,GR,_Z,0,ESP,2014,52.54582485,A,2,NA
ESP,INTEREST_RATE_SPREAD,_Z,SME,_Z,PD,_Z,0,ESP,2014,1.87,A,2,NA
ESP,BANKRUPTCIES,_Z,SME,NEW,ENT,_Z,0,ESP,2014,5096,A,0,NA
ESP,PAYMENT_DELAYS,_Z,T,_Z,D,_Z,0,ESP,2014,11,A,0,NA
ESP,LOAN,_Z,T,NEW,EUR,V,9,ESP,2014,357,A,1,NA
ESP,LOAN,_Z,SME,OUTSTANDING,EUR,V,9,ESP,2014,293,A,1,NA
ESP,LOAN,_Z,T,OUTSTANDING,EUR,V,9,ESP,2014,544.682,A,1,NA
ESP,LOAN,_Z,SME,NEW,EUR,V,9,ESP,2014,147,A,1,NA
ESP,VC,_Z,T,_Z,EUR,V,9,ESP,2014,2247,A,1,NA
ESP,LOAN_ST,_Z,SME,OUTSTANDING,EUR,V,9,ESP,2014,135,A,1,NA
ESP,LOAN_LT,_Z,SME,OUTSTANDING,EUR,V,9,ESP,2014,11,A,1,NA
ESP,LOAN_GOV_GUARANTEED,_Z,SME,_Z,EUR,V,6,ESP,2014,938,A,1,NA
ESP,LOAN_GOV_DIRECT,_Z,SME,_Z,EUR,V,6,ESP,2014,22588,A,1,NA
ESP,LOAN_GOV_GUARANTEES,_Z,SME,_Z,EUR,V,6,ESP,2014,9100,A,1,NA
ESP,LOAN,_Z,SME,OUTSTANDING,PT_ENT,_Z,0,ESP,2015,49.85420543,A,2,NA
ESP,LOAN,_Z,SME,NEW,PT_ENT,_Z,0,ESP,2015,41.98473282,A,2,NA
ESP,NPL,_Z,T,OUTSTANDING,PT_ENT,_Z,0,ESP,2015,10.12,A,2,NA
ESP,LOAN_ST,_Z,T,OUTSTANDING,PT_ENT,_Z,0,ESP,2015,92.77108434,A,2,NA
ESP,LOAN_APPLICATIONS,_Z,SME,_Z,PT_ENT,_Z,0,ESP,2015,33.81,A,2,NA
ESP,LOAN_COLLATERAL,_Z,SME,_Z,PT_ENT,_Z,0,ESP,2015,28.24,A,2,NA
ESP,LOAN_REJECTION,_Z,SME,_Z,PT_ENT,_Z,0,ESP,2015,7.87,A,2,NA
ESP,INTEREST_RATE,_Z,LRG,_Z,PA,_Z,0,ESP,2015,1.97,A,2,NA
